,Cu,Ni,Cr,NO3
481,2.359493,4.1425433,0.7255651,14.969088
482,2.3102872,3.6893964,1.213576,15.615929
483,2.5633585,3.462498,1.7846762,17.371824
484,2.3780136,3.1367807,2.3245642,18.120262
485,2.5229282,2.8420804,2.7768037,18.993774
486,2.3270414,3.5550826,3.2812788,21.449553
487,2.1737454,3.1465664,3.7997794,22.037914
488,2.3441746,3.5067673,4.1981344,24.169933
489,2.3661911,3.1254795,4.73753,24.994333
490,1.4673389,5.884551,0.4323242,15.984481
491,1.8838586,5.6339345,0.7538778,17.18964
492,2.6370194,2.6795013,1.255755,14.076314
493,2.762792,2.636485,1.841159,16.122753
494,2.8764148,2.6530528,2.3461185,17.806751
495,2.9085617,1.0586766,2.6191921,15.611229
496,2.1382117,3.1933432,3.6223185,21.187618
497,2.2097158,3.0926013,4.091161,22.444294
498,2.7006576,1.6413467,4.529334,22.084846
499,3.2625134,0.98093057,5.0511174,23.747656
500,2.4051163,0.975304,0.14432204,7.1999702
501,2.5332398,0.8500818,0.68637604,8.704254
502,2.2224717,1.6619935,1.4151974,11.855682
503,2.1922116,1.1910571,2.0885055,13.0137415
504,2.7332323,0.31909692,2.6987293,14.05905
505,2.0984678,0.4968365,3.4578626,15.583215
506,3.096903,0.04935289,3.2576115,15.833471
507,2.919568,0.08043159,4.0114303,17.827238
508,2.7581034,0.33599988,4.425323,19.235252
509,2.819093,0.004668385,4.86334,19.946732
510,3.0685549,0.5876278,0.0,7.1965156
511,2.721628,0.55351335,0.62788457,8.412408
512,2.53831,1.3888887,1.2242699,11.417059
513,2.013844,1.5622824,2.3649175,14.037482
514,1.992626,2.4723883,3.0161471,18.107244
515,2.129995,1.1626098,3.5684364,17.148056
516,3.2140887,1.0247927,3.1006267,17.627123
517,2.4800115,0.55462885,3.899192,17.832767
518,2.2242599,0.24885705,4.9232364,19.53833
519,2.2285028,1.704306,4.843276,22.447845
520,2.4521556,2.2351165,0.03988929,9.55238
521,2.4997163,2.198267,0.67094785,11.246563
522,1.9660635,2.5181978,1.3631525,13.133109
523,2.3767443,2.1079497,1.9790668,14.719942
